"Source","Target","Weight","type"
"3","1",0.0324584837344828,"directed"
"4","1",0.0365116750037028,"directed"
"5","1",0.0764223493165894,"directed"
"6","1",0.176626910610197,"directed"
"7","1",0.147136525803722,"directed"
"8","1",0.142503996425112,"directed"
"9","1",0.227111815501414,"directed"
"10","1",0.0147871579739999,"directed"
"11","1",0.110707325316848,"directed"
"12","1",0.00568474026007925,"directed"
"13","1",0.0829772680836117,"directed"
"14","1",0.0452258483935467,"directed"
"15","1",0.0935575275545769,"directed"
"3","2",0.0245546483082257,"directed"
"4","2",0.0608677580061661,"directed"
"5","2",0.0898252706461292,"directed"
"6","2",0.0767561486211193,"directed"
"7","2",0.117605599485044,"directed"
"12","2",0.196836772859952,"directed"
"15","2",0.193761212079647,"directed"
"2","3",0.0153652187767047,"directed"
"4","3",0.0833140789316714,"directed"
"5","3",0.187853080890202,"directed"
"6","3",0.190546135070449,"directed"
"7","3",0.537026803626249,"directed"
"8","3",0.292873031953795,"directed"
"9","3",0.204697170818274,"directed"
"10","3",0.0620555957880447,"directed"
"11","3",0.181218680097591,"directed"
"12","3",0.451748839214254,"directed"
"14","3",0.0595364160449929,"directed"
"15","3",0.192096110865254,"directed"
"1","4",0.15103090448102,"directed"
"2","4",0.0728200243164859,"directed"
"3","4",0.312609970707447,"directed"
"5","4",0.268439786322953,"directed"
"6","4",0.18514372419118,"directed"
"7","4",0.469049957228411,"directed"
"8","4",0.522820922961163,"directed"
"9","4",0.456773138767009,"directed"
"10","4",0.0179715352530203,"directed"
"11","4",0.114976426742611,"directed"
"12","4",0.371506249763746,"directed"
"13","4",0.299881253261686,"directed"
"14","4",0.127041934663433,"directed"
"15","4",0.307912838192271,"directed"
"1","5",0.578718754198341,"directed"
"2","5",0.0538774081717719,"directed"
"3","5",0.529753602958325,"directed"
"4","5",0.593159299383617,"directed"
"6","5",0.738451641935703,"directed"
"7","5",0.774149284762496,"directed"
"8","5",0.828964022452391,"directed"
"9","5",0.788593880395709,"directed"
"10","5",0.193156194272143,"directed"
"11","5",0.582235447146633,"directed"
"12","5",0.316610377400621,"directed"
"13","5",0.345228209036621,"directed"
"14","5",0.721021036369841,"directed"
"15","5",0.722105566073514,"directed"
"1","6",0.195447223925442,"directed"
"2","6",0.0337155109809466,"directed"
"3","6",0.36225168849374,"directed"
"4","6",0.374785520892135,"directed"
"5","6",0.47113108708293,"directed"
"7","6",0.517781430998967,"directed"
"8","6",0.544209012772683,"directed"
"9","6",0.508256261791908,"directed"
"10","6",0.0145963484120752,"directed"
"11","6",0.528377674997636,"directed"
"12","6",0.244693913880666,"directed"
"13","6",0.257800682947177,"directed"
"14","6",0.318307492951728,"directed"
"15","6",0.247501161668851,"directed"
"1","7",0.649919584510949,"directed"
"3","7",0.690091667594928,"directed"
"4","7",0.548533487921427,"directed"
"5","7",0.890098443572035,"directed"
"6","7",0.729901135184588,"directed"
"8","7",0.834127287415969,"directed"
"9","7",0.911374047651625,"directed"
"10","7",0.492977162203855,"directed"
"11","7",0.514402303072553,"directed"
"12","7",0.434581736107081,"directed"
"13","7",0.48541238917261,"directed"
"14","7",0.583130907943138,"directed"
"15","7",0.665814281301362,"directed"
"1","8",0.22227057986651,"directed"
"2","8",0.0410085796148348,"directed"
"3","8",0.353245964333324,"directed"
"4","8",0.812593620939102,"directed"
"5","8",0.462434973158191,"directed"
"6","8",0.35225084723529,"directed"
"7","8",0.72080476810773,"directed"
"9","8",0.973866462961837,"directed"
"10","8",0.338341540023276,"directed"
"11","8",0.355764889747387,"directed"
"12","8",0.356322021256762,"directed"
"13","8",0.42921160952658,"directed"
"14","8",0.378781720260826,"directed"
"15","8",0.506178222950546,"directed"
"1","9",0.36276784954978,"directed"
"2","9",0.0863991825532523,"directed"
"3","9",0.325459962717511,"directed"
"4","9",0.526406457897224,"directed"
"5","9",0.521129262673426,"directed"
"6","9",0.431063353319777,"directed"
"7","9",0.687196731904687,"directed"
"8","9",1,"directed"
"10","9",0.368624860582661,"directed"
"11","9",0.350557680771941,"directed"
"12","9",0.364493134996953,"directed"
"13","9",0.324711881384584,"directed"
"14","9",0.320711597595176,"directed"
"15","9",0.458448462627671,"directed"
