"Source","Target","Weight","type"
"2","1",0.0878839303922933,"directed"
"3","1",0.153165662818442,"directed"
"4","1",0.108233341683541,"directed"
"5","1",0.237835049847248,"directed"
"6","1",0.213882040255292,"directed"
"7","1",0.174468000414447,"directed"
"8","1",0.223324285836078,"directed"
"9","1",0.185816363203867,"directed"
"11","1",0.138000341006278,"directed"
"12","1",0.13626398504837,"directed"
"13","1",0.099058049236535,"directed"
"14","1",0.0550083682356036,"directed"
"15","1",0.110111475183772,"directed"
"1","2",0.0545867534265674,"directed"
"4","2",0.107167642734249,"directed"
"5","2",0.16889714549169,"directed"
"6","2",0.106700534843224,"directed"
"7","2",0.158246347206117,"directed"
"8","2",0.150892544576901,"directed"
"9","2",0.118958100804382,"directed"
"12","2",0.122889527312086,"directed"
"15","2",0.0810691210551976,"directed"
"4","3",0.204261070514218,"directed"
"5","3",0.28375357617834,"directed"
"6","3",0.300154412847581,"directed"
"7","3",0.349233024540127,"directed"
"8","3",0.289213601861642,"directed"
"9","3",0.260716174712205,"directed"
"10","3",0.0981260421185795,"directed"
"11","3",0.156551619572985,"directed"
"12","3",0.182751749672123,"directed"
"13","3",0.0683243550462644,"directed"
"14","3",0.0863226537619895,"directed"
"15","3",0.0619576976793858,"directed"
"1","4",0.15687749337258,"directed"
"2","4",0.155156346846038,"directed"
"3","4",0.158912782570233,"directed"
"5","4",0.354693025971448,"directed"
"6","4",0.304694503285768,"directed"
"7","4",0.53197224039353,"directed"
"8","4",0.536399785931444,"directed"
"9","4",0.449821369981745,"directed"
"10","4",0.0938848654363135,"directed"
"11","4",0.171216954775152,"directed"
"12","4",0.354411141388913,"directed"
"13","4",0.0807759621665412,"directed"
"14","4",0.133542003811739,"directed"
"15","4",0.173298010765624,"directed"
"1","5",0.267700454132104,"directed"
"2","5",0.168818998332656,"directed"
"3","5",0.33354961139401,"directed"
"4","5",0.764437778805037,"directed"
"6","5",0.781008473338422,"directed"
"7","5",0.936211736100583,"directed"
"8","5",0.987659927670768,"directed"
"9","5",0.905372239761785,"directed"
"10","5",0.279219476558004,"directed"
"11","5",0.395803922471694,"directed"
"12","5",0.710595938589218,"directed"
"13","5",0.204529915758194,"directed"
"14","5",0.259952877594355,"directed"
"15","5",0.306481422705223,"directed"
"1","6",0.264039416551549,"directed"
"2","6",0.0857384175411841,"directed"
"3","6",0.230025644787583,"directed"
"4","6",0.48186032093233,"directed"
"5","6",0.700384854198534,"directed"
"7","6",0.668063415428359,"directed"
"8","6",0.774964837047742,"directed"
"9","6",0.589759747855832,"directed"
"10","6",0.171087452255949,"directed"
"11","6",0.420707972891163,"directed"
"12","6",0.511953853682412,"directed"
"13","6",0.213318075885296,"directed"
"14","6",0.159857503377128,"directed"
"15","6",0.202197920525865,"directed"
"1","7",0.264056474766859,"directed"
"2","7",0.231767111882895,"directed"
"3","7",0.372294540041488,"directed"
"4","7",0.761441094016077,"directed"
"5","7",0.913011941849362,"directed"
"6","7",0.651447686408943,"directed"
"8","7",1,"directed"
"9","7",0.677106780254662,"directed"
"10","7",0.224442651394239,"directed"
"11","7",0.444085563901494,"directed"
"12","7",0.801150334378009,"directed"
"13","7",0.1510239114416,"directed"
"14","7",0.279181410200353,"directed"
"15","7",0.396535595426739,"directed"
"1","8",0.168969300653264,"directed"
